"V1","V2"
"1",1002,21.7545565874522
"2",1001,19.2017725463681
"3",1004,28.5697999457548
"4",1003,28.7301148294469
"5",1005,16.4581925207081
"6",1006,28.5181072988273
"7",1007,16.4854602788992
"8",1008,26.1725837487641
"9",1009,24.9897554085088
"10",1010,16.2707878285066
"11",1012,19.3426182230679
"12",1011,19.7999164893963
"13",1013,17.7078439273903
"14",1014,23.0072968700267
"15",1026,28.9491076707646
"16",1031,21.0221099689215
"17",1033,19.8351329857061
"18",1030,20.6639186402387
"19",1023,20.3536391980809
"20",1024,27.7107362922102
"21",1035,27.3467726119676
"22",1036,27.3467726119676
"23",1028,27.5327633831084
"24",1034,20.5919057087698
"25",1025,28.4749200182301
"26",1027,26.345786399893
"27",1018,58.0561977139727
"28",1015,58.5810622109248
"29",1016,59.6731834045123
"30",1019,56.7558497501681
"31",1020,58.0376915015978
"32",1022,57.1140410788509
"33",1017,58.5810622109248
"34",1021,57.1140410788509
"35",1029,54.9849074605138
"36",1037,45.0940785689214
"37",1040,50.836582534333
"38",1039,20.3214272419274
"39",1038,21.6507752575252
"40",1041,23.5522372710744
"41",1060,57.9105216668854
"42",1056,54.9995462971186
"43",1057,59.5211490728477
"44",1054,60.0396552852225
"45",1059,57.4868712441385
"46",1048,57.9105216668854
"47",1055,57.9105216668854
"48",1046,57.9105216668854
"49",1053,43.7813880485483
"50",1051,43.7813880485483
"51",1062,56.6101737030809
"52",1058,58.91150787896
"53",1052,56.2998942609231
"54",1047,57.9105216668854
"55",1042,57.9105216668854
"56",1045,55.5599211047802
"57",1032,57.9105216668854
"58",1049,57.9105216668854
"59",1061,57.9105216668854
"60",1050,55.3577376258013
"61",1043,56.0262083966419
"62",1044,58.91150787896
"63",1065,12.0582479599122
"64",1063,26.5739452788996
"65",1064,13.1260375785971
"66",1066,8.65473425693161
"67",1070,7.40229817965211
"68",1069,7.19436177244789
"69",1068,9.95508222073614
"70",1067,8.34445481477384
"71",1071,24.2613188582676
"72",1072,28.6271259161362
"73",1073,27.0164985101739
"74",1074,42.8585868815892
"75",1075,21.9075559884946
"76",1076,34.4918727885258
"77",1077,25.0869151508604
"78",1097,68.011361571285
"79",1094,66.4007341653226
"80",1080,52.0224261909291
"81",1081,52.9645828260508
"82",1095,66.2873631847335
"83",1088,71.7511225955844
"84",1090,67.0692049361632
"85",1087,66.4007341653226
